name,pos,team,adp,mu,player_id,mu_hat,sigma_hat,is_rookie
Ja'Marr Chase,WR,CIN,1.4,380.0,0,372.16310051265754,66.28399109435735,False
Bijan Robinson,RB,ATL,1.8,360.0,1,344.3545161290322,38.775083526918884,False
Saquon Barkley,RB,PHI,2.1,349.0917566488914,2,342.1510316230949,58.55715275220674,False
Justin Jefferson,WR,MIN,4.2,370.76033928167277,3,359.33336710043955,57.56335912145893,False
CeeDee Lamb,WR,DAL,4.9,361.7453399585819,4,350.96087588327464,53.35229415934903,False
Jahmyr Gibbs,RB,DET,5.0,338.51404044502453,5,335.5372738560716,53.06192100817944,False
Malik Nabers,WR,NYG,7.1,352.94953941212606,6,340.0886775884882,69.20110936205387,False
Christian McCaffrey,RB,SF,8.1,328.25683619240976,7,334.41804115548655,80.31386213832212,False
Nico Collins,WR,HOU,9.8,344.3676078467105,8,320.1542984561701,55.007716398484476,False
Amon-Ra St. Brown,WR,DET,10.6,335.9943450601695,9,329.6768322228585,49.15770438695917,False
Puka Nacua,WR,LAR,10.9,327.82467729271553,10,322.3987728763996,65.56638772404006,False
Derrick Henry,RB,BAL,11.4,318.3104321622659,11,316.2529827279091,59.03946664940337,False
Ashton Jeanty,RB,LV,12.3,308.6654108977588,12,277.79886980798295,64.93242666286118,True
De'Von Achane,RB,MIA,14.4,299.3126402973626,13,299.080822177785,72.65452471168865,False
Drake London,WR,ATL,14.9,319.85365415250556,14,294.89217857412075,42.8322195558679,False
Brian Thomas Jr.,WR,JAX,15.2,312.0764456159626,15,303.6535119311738,42.52932730295759,False
Josh Jacobs,RB,GB,16.1,290.2432649684002,16,288.1405109944842,47.26498619401705,False
Bucky Irving,RB,TB,17.6,281.4486978425791,17,270.33408848980537,43.624144332173046,False
A.J. Brown,WR,PHI,17.7,304.48833910103366,18,298.5975704798142,58.562616368372254,False
Chase Brown,RB,CIN,19.5,272.9206120455806,19,258.5126842458599,43.855455581541435,False
Jonathan Taylor,RB,IND,20.0,264.6509330130064,20,272.5382195290765,63.266276209851426,False
