name,pos,team,adp
Brandon Aubrey,K,DAL,150.0
Jake Bates,K,DET,151.7
Justin Tucker,K,BAL,153.5
Chris Boswell,K,PIT,155.2
Daniel Carlson,K,LV,157.0
Cameron Dicker,K,LAC,158.7
Matt Gay,K,IND,160.4
Jason Sanders,K,MIA,162.2
Jason Myers,K,SEA,163.9
Jake Elliott,K,PHI,165.7
Tyler Bass,K,BUF,167.4
Blake Grupe,K,NO,169.1
Chase McLaughlin,K,TB,170.9
Wil Lutz,K,DEN,172.6
Ryan Succop,K,TB,174.3
Joshua Karty,K,LA,176.1
Nick Folk,K,TEN,177.8
Younghoe Koo,K,ATL,179.6
Will Reichard,K,MIN,181.3
Ka'imi Fairbairn,K,HOU,183.0
Robbie Gould,K,SF,184.8
Cam Little,K,JAX,186.5
Brandon McManus,K,GB,188.3
Evan McPherson,K,CIN,190.0
Jake Moody,K,SF,191.7
Cairo Santos,K,CHI,193.5
Harrison Butker,K,KC,195.2
Greg Joseph,K,NYJ,197.0
Joey Slye,K,NE,198.7
Greg Zuerlein,K,NYJ,200.4
Eddy Pineiro,K,CAR,202.2
Chad Ryland,K,ARI,203.9
Dustin Hopkins,K,CLE,205.7
Brett Maher,K,LA,207.4
Matt Prater,K,ARI,209.1
Anders Carlson,K,NYJ,210.9
Graham Gano,K,NYG,212.6
Mason Crosby,K,NYG,214.3
Riley Patterson,K,ATL,216.1
Cade York,K,CIN,217.8
Michael Badgley,K,DET,219.6
Randy Bullock,K,NYG,221.3
Lucas Havrisik,K,LA,223.0
Zane Gonzalez,K,WAS,224.8
Austin Seibert,K,WAS,226.5
Matthew Wright,K,TEN,228.3
Matt Ammendola,K,HOU,230.0
