player_display_name,recent_team,season,week,season_type,fantasy_points
Matt Prater,ARI,2023,1,REG,12.0
Matt Prater,ARI,2023,2,REG,9.0
Matt Prater,ARI,2023,3,REG,13.0
Matt Prater,ARI,2023,4,REG,4.0
Matt Prater,ARI,2023,5,REG,2.0
Matt Prater,ARI,2023,6,REG,11.0
Matt Prater,ARI,2023,7,REG,5.0
Matt Prater,ARI,2023,8,REG,5.0
Matt Prater,ARI,2023,10,REG,18.0
Matt Prater,ARI,2023,11,REG,6.0
Matt Prater,ARI,2023,12,REG,0.0
Matt Prater,ARI,2023,13,REG,8.0
Matt Prater,ARI,2023,15,REG,14.0
Matt Prater,ARI,2023,16,REG,6.0
Matt Prater,ARI,2023,17,REG,9.0
Matt Prater,ARI,2023,18,REG,8.0
Nick Folk,TEN,2023,1,REG,18.0
Nick Folk,TEN,2023,2,REG,10.0
Nick Folk,TEN,2023,3,REG,4.0
Nick Folk,TEN,2023,4,REG,11.0
Nick Folk,TEN,2023,5,REG,12.0
Nick Folk,TEN,2023,6,REG,10.0
Nick Folk,TEN,2023,8,REG,4.0
Nick Folk,TEN,2023,9,REG,11.0
Nick Folk,TEN,2023,10,REG,6.0
Nick Folk,TEN,2023,11,REG,2.0
Nick Folk,TEN,2023,12,REG,7.0
Nick Folk,TEN,2023,13,REG,9.0
Nick Folk,TEN,2023,14,REG,8.0
Nick Folk,TEN,2023,15,REG,5.0
Nick Folk,TEN,2023,16,REG,5.0
Nick Folk,TEN,2023,17,REG,5.0
Nick Folk,TEN,2023,18,REG,4.0
Mason Crosby,NYG,2023,16,REG,7.0
Mason Crosby,NYG,2023,17,REG,7.0
Mason Crosby,NYG,2023,18,REG,9.0
Graham Gano,NYG,2023,1,REG,0.0
Graham Gano,NYG,2023,2,REG,7.0
Graham Gano,NYG,2023,3,REG,9.0
Graham Gano,NYG,2023,4,REG,5.0
Graham Gano,NYG,2023,5,REG,13.0
Graham Gano,NYG,2023,6,REG,10.0
Graham Gano,NYG,2023,7,REG,2.0
Graham Gano,NYG,2023,8,REG,4.0
Randy Bullock,NYG,2023,10,REG,6.0
Randy Bullock,NYG,2023,11,REG,7.0
Randy Bullock,NYG,2023,12,REG,5.0
Randy Bullock,NYG,2023,14,REG,6.0
Randy Bullock,NYG,2023,15,REG,5.0
Justin Tucker,BAL,2023,1,REG,5.0
Justin Tucker,BAL,2023,2,REG,11.0
Justin Tucker,BAL,2023,3,REG,7.0
Justin Tucker,BAL,2023,4,REG,4.0
Justin Tucker,BAL,2023,5,REG,4.0
Justin Tucker,BAL,2023,6,REG,19.0
Justin Tucker,BAL,2023,7,REG,8.0
Justin Tucker,BAL,2023,8,REG,8.0
Justin Tucker,BAL,2023,9,REG,14.0
Justin Tucker,BAL,2023,10,REG,7.0
Justin Tucker,BAL,2023,11,REG,11.0
Justin Tucker,BAL,2023,12,REG,10.0
Justin Tucker,BAL,2023,14,REG,12.0
Justin Tucker,BAL,2023,15,REG,12.0
Justin Tucker,BAL,2023,16,REG,16.0
Justin Tucker,BAL,2023,17,REG,8.0
Justin Tucker,BAL,2023,18,REG,4.0
Greg Zuerlein,NYJ,2023,1,REG,11.0
Greg Zuerlein,NYJ,2023,3,REG,6.0
Greg Zuerlein,NYJ,2023,4,REG,4.0
Greg Zuerlein,NYJ,2023,5,REG,18.0
Greg Zuerlein,NYJ,2023,6,REG,14.0
Greg Zuerlein,NYJ,2023,8,REG,7.0
Greg Zuerlein,NYJ,2023,9,REG,8.0
Greg Zuerlein,NYJ,2023,10,REG,16.0
